numero_artigo,caput
127,"As penas cominadas nos dois artigos anteriores são aumentadas de um terço, se, em consequência do aborto ou dos meios empregados para provocá-lo, a gestante sofre lesão corporal de natureza grave; e são duplicadas, se, por qualquer dessas causas, lhe sobrevém a morte."
128,"Não se pune o aborto praticado por médico:3 Aborto necessário I – se não há outro meio de salvar a vida da gestante; 1 Nota do Editor (NE): ver ADPF no 54. 2 NE: ver ADPF no 54. 3 NE: ver APDF no 54.51 Decreto-Lei no 2.848/1940 Aborto no caso de gravidez resultante de estupro II – se a gravidez resulta de estupro e o aborto é precedido de consenti - mento da gestante ou, quando incapaz, de seu representante legal. CAPÍTULO II – Das Lesões Corporais Lesão corporal"
129,Ofender a integridade corporal ou a saúde de outrem:
130,"Expor alguém, por meio de relações sexuais ou qualquer ato libidinoso, a contágio de moléstia venérea, de que sabe ou deve saber que está contaminado:"
131,"Praticar, com o fim de transmitir a outrem moléstia grave de que está contaminado, ato capaz de produzir o contágio:"
132,Expor a vida ou a saúde de outrem a perigo direto e iminente:
133,"Abandonar pessoa que está sob seu cuidado, guarda, vigilância ou autoridade, e, por qualquer motivo, incapaz de defender-se dos riscos resultantes do abandono:"
134,"Expor ou abandonar recém-nascido, para ocultar desonra própria:"
135,"Deixar de prestar assistência, quando possível fazê-lo sem risco pessoal, a criança abandonada ou extraviada, ou a pessoa inválida ou ferida, ao desamparo ou em grave e iminente perigo; ou não pedir, nesses casos, o socorro da autoridade pública:"
136,"Expor a perigo a vida ou a saúde de pessoa sob sua autoridade, guarda ou vigilância, para fim de educação, ensino, tratamento ou cus - tódia, quer privando-a de alimentação ou cuidados indispensáveis, quer sujeitando-a a trabalho excessivo ou inadequado, quer abusando de meios de correção ou disciplina:"
137,"Participar de rixa, salvo para separar os contendores:"
138,"Caluniar alguém, imputando-lhe falsamente fato definido como crime:"
141,"III – se do crime imputado, embora de ação pública, o ofendido foi absolvido por sentença irrecorrível. Difamação"
139,"Difamar alguém, imputando-lhe fato ofensivo à sua reputação:57 Decreto-Lei no 2.848/1940"
140,"Injuriar alguém, ofendendo-lhe a dignidade ou o decoro:"
142,"Não constituem injúria ou difamação punível: I – a ofensa irrogada em juízo, na discussão da causa, pela parte ou por seu procurador; II – a opinião desfavorável da crítica literária, artística ou científica, salvo quando inequívoca a intenção de injuriar ou difamar; III – o conceito desfavorável emitido por funcionário público, em apreciação ou informação que preste no cumprimento de dever do ofício. Parágrafo único . Nos casos dos nos I e III, responde pela injúria ou pela difamação quem lhe dá publicidade. Retratação"
143,"O querelado que, antes da sentença, se retrata cabalmente da calúnia ou da difamação, fica isento de pena. Parágrafo único . Nos casos em que o querelado tenha praticado a calúnia ou a difamação utilizando-se de meios de comunicação, a retratação dar- se-á, se assim desejar o ofendido, pelos mesmos meios em que se praticou a ofensa."
144,"Se, de referências, alusões ou frases, se infere calúnia, difama - ção ou injúria, quem se julga ofendido pode pedir explicações em juízo. Aquele que se recusa a dá-las ou, a critério do juiz, não as dá satisfatórias, responde pela ofensa."
145,"Nos crimes previstos neste Capítulo somente se procede me - diante queixa, salvo quando, no caso do art. 140, § 2o, da violência resulta lesão corporal. Parágrafo único . Procede-se mediante requisição do Ministro da Justiça, no caso do inciso I do caput do art. 141 deste Código, e mediante repre -59 Decreto-Lei no 2.848/1940 sentação do ofendido, no caso do inciso II do mesmo artigo, bem como no caso do § 3o do art. 140 deste Código. CAPÍTULO VI – Dos Crimes contra a Liberdade Individual SEÇÃO I – Dos Crimes contra a Liberdade Pessoal Constrangimento ilegal"
146,"Constranger alguém, mediante violência ou grave ameaça, ou depois de lhe haver reduzido, por qualquer outro meio, a capacidade de resistência, a não fazer o que a lei permite, ou a fazer o que ela não manda:"
147,"Ameaçar alguém, por palavra, escrito ou gesto, ou qualquer outro meio simbólico, de causar-lhe mal injusto e grave:"
148,"Privar alguém de sua liberdade, mediante sequestro ou cárcere privado:"
149,"Reduzir alguém a condição análoga à de escravo, quer submeten - do-o a trabalhos forçados ou a jornada exaustiva, quer sujeitando-o a con - dições degradantes de trabalho, quer restringindo, por qualquer meio, sua locomoção em razão de dívida contraída com o empregador ou preposto:"
150,"Entrar ou permanecer, clandestina ou astuciosamente, ou contra a vontade expressa ou tácita de quem de direito, em casa alheia ou em suas dependências:"
151,"Devassar indevidamente o conteúdo de correspondência fecha - da, dirigida a outrem:"
152,"Abusar da condição de sócio ou empregado de estabelecimento comercial ou industrial para, no todo ou em parte, desviar, sonegar, subtrair ou suprimir correspondência, ou revelar a estranho seu conteúdo:"
153,"Divulgar alguém, sem justa causa, conteúdo de documento particular ou de correspondência confidencial, de que é destinatário ou detentor, e cuja divulgação possa produzir dano a outrem:64 Código Penal"
154,"Revelar alguém, sem justa causa, segredo, de que tem ciência em razão de função, ministério, ofício ou profissão, e cuja revelação possa produzir dano a outrem:"
155,"Subtrair, para si ou para outrem, coisa alheia móvel:"
156,"Subtrair o condômino, coerdeiro ou sócio, para si ou para ou - trem, a quem legitimamente a detém, a coisa comum:"
157,"Subtrair coisa móvel alheia, para si ou para outrem, mediante grave ameaça ou violência a pessoa, ou depois de havê-la, por qualquer meio, reduzido à impossibilidade de resistência:67 Decreto-Lei no 2.848/1940"
158,"Constranger alguém, mediante violência ou grave ameaça, e com o intuito de obter para si ou para outrem indevida vantagem econômica, a fazer, tolerar que se faça ou deixar fazer alguma coisa:"
159,"Sequestrar pessoa com o fim de obter, para si ou para outrem, qualquer vantagem, como condição ou preço do resgate:"
160,"Exigir ou receber, como garantia de dívida, abusando da situação de alguém, documento que pode dar causa a procedimento criminal contra a vítima ou contra terceiro:"
161,"Suprimir ou deslocar tapume, marco, ou qualquer outro sinal indicativo de linha divisória, para apropriar-se, no todo ou em parte, de coisa imóvel alheia:"
162,"Suprimir ou alterar, indevidamente, em gado ou rebanho alheio, marca ou sinal indicativo de propriedade:"
163,"Destruir, inutilizar ou deteriorar coisa alheia:"
164,"Introduzir ou deixar animais em propriedade alheia, sem con - sentimento de quem de direito, desde que o fato resulte prejuízo:"
165,"Destruir, inutilizar ou deteriorar coisa tombada pela autoridade competente em virtude de valor artístico, arqueológico ou histórico:"
166,"Alterar, sem licença da autoridade competente, o aspecto de local especialmente protegido por lei:"
167,"Nos casos do art. 163, do inciso IV do seu parágrafo e do art. 164, somente se procede mediante queixa. CAPÍTULO V – Da Apropriação Indébita Apropriação indébita"
168,"Apropriar-se de coisa alheia móvel, de que tem a posse ou a detenção:"
169,"Apropriar-se alguém de coisa alheia vinda ao seu poder por erro, caso fortuito ou força da natureza:"
170,"Nos crimes previstos neste Capítulo, aplica-se o disposto no"
171,"Obter, para si ou para outrem, vantagem ilícita, em prejuízo alheio, induzindo ou mantendo alguém em erro, mediante artifício, ardil, ou qualquer outro meio fraudulento:"
172,"Emitir fatura, duplicata ou nota de venda que não corresponda à mercadoria vendida, em quantidade ou qualidade, ou ao serviço prestado."
173,"Abusar, em proveito próprio ou alheio, de necessidade, paixão ou inexperiência de menor, ou da alienação ou debilidade mental de outrem, induzindo qualquer deles à prática de ato suscetível de produzir efeito jurídico, em prejuízo próprio ou de terceiro:"
174,"Abusar, em proveito próprio ou alheio, da inexperiência ou da simplicidade ou inferioridade mental de outrem, induzindo-o à prática de jogo ou aposta, ou à especulação com títulos ou mercadorias, sabendo ou devendo saber que a operação é ruinosa:"
175,"Enganar, no exercício de atividade comercial, o adquirente ou consumidor: I – vendendo, como verdadeira ou perfeita, mercadoria falsificada ou deteriorada; II – entregando uma mercadoria por outra:"
176,"Tomar refeição em restaurante, alojar-se em hotel ou utilizar-se de meio de transporte sem dispor de recursos para efetuar o pagamento:"
177,"Promover a fundação de sociedade por ações, fazendo, em prospecto ou em comunicação ao público ou à assembleia, afirmação falsa sobre a constituição da sociedade, ou ocultando fraudulentamente fato a ela relativo:"
178,"Emitir conhecimento de depósito ou warrant, em desacordo com disposição legal:"
179,"Fraudar execução, alienando, desviando, destruindo ou danifi - cando bens, ou simulando dívidas:"
180,"Adquirir, receber, transportar, conduzir ou ocultar, em proveito próprio ou alheio, coisa que sabe ser produto de crime, ou influir para que terceiro, de boa-fé, a adquira, receba ou oculte:"
181,"É isento de pena quem comete qualquer dos crimes previstos neste título, em prejuízo: I – do cônjuge, na constância da sociedade conjugal; II – de ascendente ou descendente, seja o parentesco legítimo ou ilegí - timo, seja civil ou natural."
182,"Somente se procede mediante representação, se o crime previsto neste título é cometido em prejuízo: I – do cônjuge desquitado ou judicialmente separado; II – de irmão, legítimo ou ilegítimo; III – de tio ou sobrinho, com quem o agente coabita."
183,"Não se aplica o disposto nos dois artigos anteriores: I – se o crime é de roubo ou de extorsão, ou, em geral, quando haja emprego de grave ameaça ou violência à pessoa; II – ao estranho que participa do crime; III – se o crime é praticado contra pessoa com idade igual ou superior a 60 (sessenta) anos.79 Decreto-Lei no 2.848/1940 TÍTULO III – Dos Crimes contra a Propriedade Imaterial CAPÍTULO I – Dos Crimes contra a Propriedade Intelectual Violação de direito autoral"
184,Violar direitos de autor e os que lhe são conexos:
186,"Procede-se mediante: I – queixa, nos crimes previstos no caput do art. 184; II – ação penal pública incondicionada, nos crimes previstos nos §§ 1o e 2o do art. 184; III – ação penal pública incondicionada, nos crimes cometidos em des - favor de entidades de direito público, autarquia, empresa pública, sociedade de economia mista ou fundação instituída pelo Poder Público; IV – ação penal pública condicionada à representação, nos crimes pre - vistos no § 3o do art. 184. CAPÍTULO II – Dos Crimes contra o Privilégio de Invenção Arts. 187 a 191. (Revogados) CAPÍTULO III – Dos Crimes contra as Marcas de Indústria e Comércio Arts. 192 a 195. (Revogados) CAPÍTULO IV – Dos Crimes de Concorrência Desleal"
196,(Revogado)81 Decreto-Lei no 2.848/1940 TÍTULO IV – Dos Crimes contra a Organização do Trabalho Atentado contra a liberdade de trabalho
197,"Constranger alguém, mediante violência ou grave ameaça: I – a exercer ou não exercer arte, ofício, profissão ou indústria, ou a trabalhar ou não trabalhar durante certo período ou em determinados dias:"
198,"Constranger alguém, mediante violência ou grave ameaça, a celebrar contrato de trabalho, ou a não fornecer a outrem ou não adquirir de outrem matéria-prima ou produto industrial ou agrícola:"
199,"Constranger alguém, mediante violência ou grave ameaça, a participar ou deixar de participar de determinado sindicato ou associação profissional:"
200,"Participar de suspensão ou abandono coletivo de trabalho, pra - ticando violência contra pessoa ou contra coisa:"
201,"Participar de suspensão ou abandono coletivo de trabalho, provocando a interrupção de obra pública ou serviço de interesse coletivo:"
202,"Invadir ou ocupar estabelecimento industrial, comercial ou agrícola, com o intuito de impedir ou embaraçar o curso normal do tra - balho, ou com o mesmo fim danificar o estabelecimento ou as coisas nele existentes ou delas dispor:"
203,"Frustrar, mediante fraude ou violência, direito assegurado pela legislação do trabalho:"
204,"Frustrar, mediante fraude ou violência, obrigação legal relativa à nacionalização do trabalho:"
205,"Exercer atividade, de que está impedido por decisão adminis - trativa:"
206,"Recrutar trabalhadores, mediante fraude, com o fim de levá-los para território estrangeiro:"
207,"Aliciar trabalhadores, com o fim de levá-los de uma para outra localidade do território nacional:"
208,"Escarnecer de alguém publicamente, por motivo de crença ou função religiosa; impedir ou perturbar cerimônia ou prática de culto reli - gioso; vilipendiar publicamente ato ou objeto de culto religioso:"
209,Impedir ou perturbar enterro ou cerimônia funerária:
210,Violar ou profanar sepultura ou urna funerária:
211,"Destruir, subtrair ou ocultar cadáver ou parte dele:"
212,Vilipendiar cadáver ou suas cinzas:
213,"Constranger alguém, mediante violência ou grave ameaça, a ter conjunção carnal ou a praticar ou permitir que com ele se pratique outro ato libidinoso:"
214,(Revogado)86 Código Penal Violação sexual mediante fraude
215,"Ter conjunção carnal ou praticar outro ato libidinoso com alguém, mediante fraude ou outro meio que impeça ou dificulte a livre manifestação de vontade da vítima:"
216,(Revogado) Assédio sexual
217,(Revogado)87 Decreto-Lei no 2.848/1940 Estupro de vulnerável
218,Induzir alguém menor de 14 (catorze) anos a satisfazer a lascívia de outrem:
224,(Revogado) Ação penal
225,"Nos crimes definidos nos Capítulos I e II deste Título, procede-se mediante ação penal pública condicionada à representação. Parágrafo único . Procede-se, entretanto, mediante ação penal pública in - condicionada se a vítima é menor de 18 (dezoito) anos ou pessoa vulnerável.89 Decreto-Lei no 2.848/1940 Aumento de pena"
226,"A pena é aumentada: I – de quarta parte, se o crime é cometido com o concurso de 2 (duas) ou mais pessoas; II – de metade, se o agente é ascendente, padrasto ou madrasta, tio, irmão, cônjuge, companheiro, tutor, curador, preceptor ou empregador da vítima ou por qualquer outro título tem autoridade sobre ela; III – (Revogado). CAPÍTULO V – Do Lenocínio e do Tráfico de Pessoa para Fim de Prostituição ou Outra Forma de Exploração Sexual Mediação para servir a lascívia de outrem"
227,Induzir alguém a satisfazer a lascívia de outrem:
228,"Induzir ou atrair alguém à prostituição ou outra forma de ex - ploração sexual, facilitá-la, impedir ou dificultar que alguém a abandone:"
229,"Manter, por conta própria ou de terceiro, estabelecimento em que ocorra exploração sexual, haja, ou não, intuito de lucro ou mediação direta do proprietário ou gerente:"
230,"Tirar proveito da prostituição alheia, participando diretamente de seus lucros ou fazendo-se sustentar, no todo ou em parte, por quem a exerça:"
231,(Revogado) Tráfico interno de pessoa para fim de exploração sexual
232,(Revogado) CAPÍTULO VI – Do Ultraje Público ao Pudor Ato obsceno
233,"Praticar ato obsceno em lugar público, ou aberto ou exposto ao público:"
234,"Fazer, importar, exportar, adquirir ou ter sob sua guarda, para fim de comércio, de distribuição ou de exposição pública, escrito, desenho, pintura, estampa ou qualquer objeto obsceno:"
235,"Contrair alguém, sendo casado, novo casamento:"
236,"Contrair casamento, induzindo em erro essencial o outro con - traente, ou ocultando-lhe impedimento que não seja casamento anterior:"
237,"Contrair casamento, conhecendo a existência de impedimento que lhe cause a nulidade absoluta:"
238,Atribuir-se falsamente autoridade para celebração de casamento:
239,Simular casamento mediante engano de outra pessoa:
240,(Revogado)94 Código Penal CAPÍTULO II – Dos Crimes contra o Estado de Filiação Registro de nascimento inexistente
241,Promover no registro civil a inscrição de nascimento inexistente:
242,"Dar parto alheio como próprio; registrar como seu o filho de outrem; ocultar recém-nascido ou substituí-lo, suprimindo ou alterando direito inerente ao estado civil:"
243,"Deixar em asilo de expostos ou outra instituição de assistência filho próprio ou alheio, ocultando-lhe a filiação ou atribuindo-lhe outra, com o fim de prejudicar direito inerente ao estado civil:"
244,"Deixar, sem justa causa, de prover a subsistência do cônjuge, ou de filho menor de 18 (dezoito) anos ou inapto para o trabalho, ou de ascen - dente inválido ou maior de 60 (sessenta) anos, não lhes proporcionando 95 Decreto-Lei no 2.848/1940 os recursos necessários ou faltando ao pagamento de pensão alimentícia judicialmente acordada, fixada ou majorada; deixar, sem justa causa, de socorrer descendente ou ascendente, gravemente enfermo:"
245,Entregar filho menor de 18 (dezoito) anos a pessoa em cuja companhia saiba ou deva saber que o menor fica moral ou materialmente em perigo:
246,"Deixar, sem justa causa, de prover à instrução primária de filho em idade escolar:"
247,"Permitir alguém que menor de dezoito anos, sujeito a seu poder ou confiado à sua guarda ou vigilância: I – frequente casa de jogo ou mal-afamada, ou conviva com pessoa viciosa ou de má vida; II – frequente espetáculo capaz de pervertê-lo ou de ofender-lhe o pudor, ou participe de representação de igual natureza;96 Código Penal III – resida ou trabalhe em casa de prostituição; IV – mendigue ou sirva a mendigo para excitar a comiseração pública:"
248,"Induzir menor de dezoito anos, ou interdito, a fugir do lugar em que se acha por determinação de quem sobre ele exerce autoridade, em virtude de lei ou de ordem judicial; confiar a outrem sem ordem do pai, do tutor ou do curador algum menor de dezoito anos ou interdito, ou deixar, sem justa causa, de entregá-lo a quem legitimamente o reclame:"
249,Subtrair menor de dezoito anos ou interdito ao poder de quem o tem sob sua guarda em virtude de lei ou de ordem judicial:
250,"Causar incêndio, expondo a perigo a vida, a integridade física ou o patrimônio de outrem:"
251,"Expor a perigo a vida, a integridade física ou o patrimônio de outrem, mediante explosão, arremesso ou simples colocação de engenho de dinamite ou de substância de efeitos análogos:"
252,"Expor a perigo a vida, a integridade física ou o patrimônio de outrem, usando de gás tóxico ou asfixiante:"
253,"Fabricar, fornecer, adquirir, possuir ou transportar, sem licença da autoridade, substância ou engenho explosivo, gás tóxico ou asfixiante, ou material destinado à sua fabricação:"
254,"Causar inundação, expondo a perigo a vida, a integridade física ou o patrimônio de outrem:"
255,"Remover, destruir ou inutilizar, em prédio próprio ou alheio, expondo a perigo a vida, a integridade física ou o patrimônio de outrem, obstáculo natural ou obra destinada a impedir inundação:"
256,"Causar desabamento ou desmoronamento, expondo a perigo a vida, a integridade física ou o patrimônio de outrem:"
257,"Subtrair, ocultar ou inutilizar, por ocasião de incêndio, inun - dação, naufrágio, ou outro desastre ou calamidade, aparelho, material ou qualquer meio destinado a serviço de combate ao perigo, de socorro ou salvamento; ou impedir ou dificultar serviço de tal natureza:"
258,"Se do crime doloso de perigo comum resulta lesão corporal de natureza grave, a pena privativa de liberdade é aumentada de metade; se resulta morte, é aplicada em dobro. No caso de culpa, se do fato resulta lesão corporal, a pena aumenta-se de metade; se resulta morte, aplica-se a"
259,"Difundir doença ou praga que possa causar dano a floresta, plantação ou animais de utilidade econômica:"
260,"Impedir ou perturbar serviço de estrada de ferro: I – destruindo, danificando ou desarranjando, total ou parcialmente, linha férrea, material rodante ou de tração, obra de arte ou instalação; II – colocando obstáculo na linha; III – transmitindo falso aviso acerca do movimento dos veículos ou interrompendo ou embaraçando o funcionamento de telégrafo, telefone ou radiotelegrafia; IV – praticando outro ato de que possa resultar desastre:"
261,"Expor a perigo embarcação ou aeronave, própria ou alheia, ou praticar qualquer ato tendente a impedir ou dificultar navegação marítima, fluvial ou aérea:"
262,"Expor a perigo outro meio de transporte público, impedir-lhe ou dificultar-lhe o funcionamento:"
263,"Se de qualquer dos crimes previstos nos arts. 260 a 262, no caso de desastre ou sinistro, resulta lesão corporal ou morte, aplica-se o disposto no art. 258. Arremesso de projétil"
264,"Arremessar projétil contra veículo, em movimento, destinado ao transporte público por terra, por água ou pelo ar:"
121,"§ 3o, aumentada de um terço. Atentado contra a segurança de serviço de utilidade pública"
265,"Atentar contra a segurança ou o funcionamento de serviço de água, luz, força ou calor, ou qualquer outro de utilidade pública:"
266,"Interromper ou perturbar serviço telegráfico, radiotelegráfico ou telefônico, impedir ou dificultar-lhe o restabelecimento:"
267,"Causar epidemia, mediante a propagação de germes patogênicos:"
268,"Infringir determinação do poder público, destinada a impedir introdução ou propagação de doença contagiosa:"
269,Deixar o médico de denunciar à autoridade pública doença cuja notificação é compulsória:
270,"Envenenar água potável, de uso comum ou particular, ou subs - tância alimentícia ou medicinal destinada a consumo:"
271,"Corromper ou poluir água potável, de uso comum ou particular, tornando-a imprópria para consumo ou nociva à saúde:"
272,"Corromper, adulterar, falsificar ou alterar substância ou produto alimentício destinado a consumo, tornando-o nociva à saúde ou reduzin - do-lhe o valor nutritivo:"
273,"Falsificar, corromper, adulterar ou alterar produto destinado a fins terapêuticos ou medicinais:"
274,"Empregar, no fabrico de produto destinado a consumo, re - vestimento, gaseificação artificial, matéria corante, substância aromática, antisséptica, conservadora ou qualquer outra não expressamente permitida pela legislação sanitária:"
275,"Inculcar, em invólucro ou recipiente de produtos alimentícios, te - rapêuticos ou medicinais, a existência de substância que não se encontra em seu conteúdo ou que nele existe em quantidade menor que a mencionada:"
276,"Vender, expor à venda, ter em depósito para vender ou, de qual - quer forma, entregar a consumo produto nas condições dos arts. 274 e 275."
277,"Vender, expor à venda, ter em depósito ou ceder substância des - tinada à falsificação de produtos alimentícios, terapêuticos ou medicinais:"
278,"Fabricar, vender, expor à venda, ter em depósito para vender ou, de qualquer forma, entregar a consumo coisa ou substância nociva à saúde, ainda que não destinada à alimentação ou a fim medicinal:107 Decreto-Lei no 2.848/1940"
279,(Revogado) Medicamento em desacordo com receita médica
280,Fornecer substância medicinal em desacordo com receita mé - dica:
281,"(Revogado) Exercício ilegal da medicina, arte dentária ou farmacêutica"
282,"Exercer, ainda que a título gratuito, a profissão de médico, den - tista ou farmacêutico, sem autorização legal ou excedendo-lhe os limites:"
283,Inculcar ou anunciar cura por meio secreto ou infalível:
284,"Exercer o curandeirismo: I – prescrevendo, ministrando ou aplicando, habitualmente, qualquer substância; II – usando gestos, palavras ou qualquer outro meio; III – fazendo diagnósticos:"
285,"Aplica-se o disposto no art. 258 aos crimes previstos neste Ca - pítulo, salvo quanto ao definido no art. 267. TÍTULO IX – Dos Crimes contra a Paz Pública Incitação ao crime"
286,"Incitar, publicamente, a prática de crime:"
287,"Fazer, publicamente, apologia de fato criminoso ou de autor de crime:"
288,"Associarem-se 3 (três) ou mais pessoas, para o fim específico de cometer crimes:109 Decreto-Lei no 2.848/1940"
289,"Falsificar, fabricando-a ou alterando-a, moeda metálica ou pa - pel-moeda de curso legal no país ou no estrangeiro:"
290,"Formar cédula, nota ou bilhete representativo de moeda com fragmentos de cédulas, notas ou bilhetes verdadeiros; suprimir, em nota, cédula ou bilhete recolhidos, para o fim de restituí-los à circulação, sinal indicativo de sua inutilização; restituir à circulação cédula, nota ou bilhete em tais condições, ou já recolhidos para o fim de inutilização:"
291,"Fabricar, adquirir, fornecer, a título oneroso ou gratuito, possuir ou guardar maquinismo, aparelho, instrumento ou qualquer objeto espe - cialmente destinado à falsificação de moeda:"
292,"Emitir, sem permissão legal, nota, bilhete, ficha, vale ou título que contenha promessa de pagamento em dinheiro ao portador ou a que falte indicação do nome da pessoa a quem deva ser pago:"
293,"Falsificar, fabricando-os ou alterando-os: I – selo destinado a controle tributário, papel selado ou qualquer papel de emissão legal destinado à arrecadação de tributo; II – papel de crédito público que não seja moeda de curso legal; III – vale postal; IV – cautela de penhor, caderneta de depósito de caixa econômica ou de outro estabelecimento mantido por entidade de direito público; V – talão, recibo, guia, alvará ou qualquer outro documento relativo a arrecadação de rendas públicas ou a depósito ou caução por que o poder público seja responsável; VI – bilhete, passe ou conhecimento de empresa de transporte admi - nistrada pela União, por Estado ou por Município:"
294,"Fabricar, adquirir, fornecer, possuir ou guardar objeto especial - mente destinado à falsificação de qualquer dos papéis referidos no artigo anterior:"
295,"Se o agente é funcionário público, e comete o crime prevalecen - do-se do cargo, aumenta-se a pena de sexta parte. CAPÍTULO III – Da Falsidade Documental Falsificação do selo ou sinal público"
296,"Falsificar, fabricando-os ou alterando-os: I – selo público destinado a autenticar atos oficiais da União, de Estado ou de Município; II – selo ou sinal atribuído por lei a entidade de direito público, ou a autoridade, ou sinal público de tabelião:"
297,"Falsificar, no todo ou em parte, documento público, ou alterar documento público verdadeiro:"
298,"Falsificar, no todo ou em parte, documento particular ou alterar documento particular verdadeiro:"
299,"Omitir, em documento público ou particular, declaração que dele devia constar, ou nele inserir ou fazer inserir declaração falsa ou diversa da que devia ser escrita, com o fim de prejudicar direito, criar obrigação ou alterar a verdade sobre fato juridicamente relevante:"
300,"Reconhecer, como verdadeira, no exercício de função pública, firma ou letra que o não seja:"
301,"Atestar ou certificar falsamente, em razão de função pública, fato ou circunstância que habilite alguém a obter cargo público, isenção de ônus ou de serviço de caráter público, ou qualquer outra vantagem:115 Decreto-Lei no 2.848/1940"
302,"Dar o médico, no exercício da sua profissão, atestado falso:"
303,"Reproduzir ou alterar selo ou peça filatélica que tenha valor para coleção, salvo quando a reprodução ou a alteração está visivelmente anotada na face ou no verso do selo ou peça:"
304,"Fazer uso de qualquer dos papéis falsificados ou alterados, a que se referem os arts. 297 a 302:"
305,"Destruir, suprimir ou ocultar, em benefício próprio ou de ou - trem, ou em prejuízo alheio, documento público ou particular verdadeiro, de que não podia dispor:"
306,"Falsificar, fabricando-o ou alterando-o, marca ou sinal empre - gado pelo poder público no contraste de metal precioso ou na fiscalização alfandegária, ou usar marca ou sinal dessa natureza, falsificado por outrem:"
307,"Atribuir-se ou atribuir a terceiro falsa identidade para obter vantagem, em proveito próprio ou alheio, ou para causar dano a outrem:"
308,"Usar, como próprio, passaporte, título de eleitor, caderneta de reservista ou qualquer documento de identidade alheia ou ceder a outrem, para que dele se utilize, documento dessa natureza, próprio ou de terceiro:117 Decreto-Lei no 2.848/1940"
309,"Usar o estrangeiro, para entrar ou permanecer no território nacional, nome que não é o seu:"
310,"Prestar-se a figurar como proprietário ou possuidor de ação, título ou valor pertencente a estrangeiro, nos casos em que a este é vedada por lei a propriedade ou a posse de tais bens:"
311,"Adulterar ou remarcar número de chassi ou qualquer sinal identificador de veículo automotor, de seu componente ou equipamento:"
312,"Apropriar-se o funcionário público de dinheiro, valor ou qual - quer outro bem móvel, público ou particular, de que tem a posse em razão do cargo, ou desviá-lo, em proveito próprio ou alheio:"
313,"Apropriar-se de dinheiro ou qualquer utilidade que, no exercício do cargo, recebeu por erro de outrem:"
314,"Extraviar livro oficial ou qualquer documento, de que tem a guarda em razão do cargo; sonegá-lo ou inutilizá-lo, total ou parcialmente:"
315,Dar às verbas ou rendas públicas aplicação diversa da estabe - lecida em lei:
316,"Exigir, para si ou para outrem, direta ou indiretamente, ainda que fora da função ou antes de assumi-la, mas em razão dela, vantagem indevida:"
317,"Solicitar ou receber, para si ou para outrem, direta ou indireta - mente, ainda que fora da função ou antes de assumi-la, mas em razão dela, vantagem indevida, ou aceitar promessa de tal vantagem:"
318,"Facilitar, com infração de dever funcional, a prática de contra - bando ou descaminho (art. 334):"
319,"Retardar ou deixar de praticar, indevidamente, ato de ofício, ou praticá-lo contra disposição expressa de lei, para satisfazer interesse ou sentimento pessoal:"
320,"Deixar o funcionário, por indulgência, de responsabilizar subor - dinado que cometeu infração no exercício do cargo ou, quando lhe falte competência, não levar o fato ao conhecimento da autoridade competente:"
321,"Patrocinar, direta ou indiretamente, interesse privado perante a administração pública, valendo-se da qualidade de funcionário:"
322,"Praticar violência, no exercício de função ou a pretexto de exercê-la:"
323,"Abandonar cargo público, fora dos casos permitidos em lei:"
324,"Entrar no exercício de função pública antes de satisfeitas as exigências legais, ou continuar a exercê-la, sem autorização, depois de saber oficialmente que foi exonerado, removido, substituído ou suspenso:"
325,"Revelar fato de que tem ciência em razão do cargo e que deva permanecer em segredo, ou facilitar-lhe a revelação:"
326,"Devassar o sigilo de proposta de concorrência pública, ou pro - porcionar a terceiro o ensejo de devassá-lo:"
327,"Considera-se funcionário público, para os efeitos penais, quem, embora transitoriamente ou sem remuneração, exerce cargo, emprego ou função pública."
328,Usurpar o exercício de função pública:
329,"Opor-se à execução de ato legal, mediante violência ou ameaça a funcionário competente para executá-lo ou a quem lhe esteja prestando auxílio:"
330,Desobedecer a ordem legal de funcionário público:
331,Desacatar funcionário público no exercício da função ou em razão dela:125 Decreto-Lei no 2.848/1940
332,"Solicitar, exigir, cobrar ou obter, para si ou para outrem, vanta - gem ou promessa de vantagem, a pretexto de influir em ato praticado por funcionário público no exercício da função:"
333,"Oferecer ou prometer vantagem indevida a funcionário público, para determiná-lo a praticar, omitir ou retardar ato de ofício:"
334,"Iludir, no todo ou em parte, o pagamento de direito ou imposto devido pela entrada, pela saída ou pelo consumo de mercadoria:"
335,"Impedir, perturbar ou fraudar concorrência pública ou venda em hasta pública, promovida pela administração federal, estadual ou mu - nicipal, ou por entidade paraestatal; afastar ou procurar afastar concorrente ou licitante, por meio de violência, grave ameaça, fraude ou oferecimento de vantagem:"
336,"Rasgar ou, de qualquer forma, inutilizar ou conspurcar edital afixado por ordem de funcionário público; violar ou inutilizar selo ou sinal empregado, por determinação legal ou por ordem de funcionário público, para identificar ou cerrar qualquer objeto:"
337,"Subtrair, ou inutilizar, total ou parcialmente, livro oficial, proces - so ou documento confiado à custódia de funcionário, em razão de ofício, ou de particular em serviço público:"
338,Reingressar no território nacional o estrangeiro que dele foi expulso:
339,"Dar causa à instauração de investigação policial, de processo judicial, instauração de investigação administrativa, inquérito civil ou ação de improbidade administrativa contra alguém, imputando-lhe crime de que o sabe inocente:"
